[Mon Oct 06 11:50:41 2014] [error] (2)No such file or directory: could not open transfer log file /home/projetx/ProjetX/dev/www/ProjetX/public/data/apache/access.log.
[Mon Oct 06 11:51:30 2014] [error] (2)No such file or directory: could not open transfer log file /home/projetx/ProjetX/dev/www/ProjetX/public/data/apache/access.log.
[Mon Oct 06 11:52:09 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /
[Mon Oct 06 11:52:09 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /favicon.ico
[Mon Oct 06 11:54:06 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:54:06 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:13 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:55:13 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:15 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:55:15 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:17 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/
[Mon Oct 06 11:55:17 2014] [error] [client 194.57.110.241] client denied by server configuration: /home/projetx/ProjetX/dev/www/ProjetX/public/favicon.ico
[Mon Oct 06 11:55:25 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /
[Mon Oct 06 11:55:26 2014] [crit] [client 194.57.110.241] configuration error:  couldn't perform authentication. AuthType not set!: /favicon.ico
[Mon Oct 06 19:48:35.485692 2014] [:error] [pid 3216] [client 127.0.0.1:42785] PHP   8. Zend\\View\\View->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/View/Http/DefaultRenderingStrategy.php:102, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:35.485698 2014] [:error] [pid 3216] [client 127.0.0.1:42785] PHP   9. Zend\\View\\View->renderChildren() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:198, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:35.485705 2014] [:error] [pid 3216] [client 127.0.0.1:42785] PHP  10. Zend\\View\\View->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:233, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:35.485712 2014] [:error] [pid 3216] [client 127.0.0.1:42785] PHP  11. Zend\\View\\Renderer\\PhpRenderer->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:205, referer: http://projetx.local/inscription
[Mon Oct 06 19:48:35.485719 2014] [:error] [pid 3216] [client 127.0.0.1:42785] PHP  12. include() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/Renderer/PhpRenderer.php:506, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330205 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP Notice:  Array to string conversion in /home/zeus/Applications/ProjetX/module/Utilisateur/view/utilisateur/authentification/login.phtml on line 129, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330242 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP Stack trace:, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330252 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   1. {main}() /home/zeus/Applications/ProjetX/public/index.php:0, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330258 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   2. Zend\\Mvc\\Application->run() /home/zeus/Applications/ProjetX/public/index.php:17, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330264 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   3. Zend\\Mvc\\Application->completeRequest() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:327, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330270 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   4. Zend\\EventManager\\EventManager->trigger() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:352, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330276 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   5. Zend\\EventManager\\EventManager->triggerListeners() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330282 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   6. call_user_func() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330287 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   7. Zend\\Mvc\\View\\Http\\DefaultRenderingStrategy->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330302 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   8. Zend\\View\\View->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/View/Http/DefaultRenderingStrategy.php:102, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330308 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP   9. Zend\\View\\View->renderChildren() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:198, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330313 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP  10. Zend\\View\\View->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:233, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330318 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP  11. Zend\\View\\Renderer\\PhpRenderer->render() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/View.php:205, referer: http://projetx.local/inscription
[Mon Oct 06 20:27:27.330323 2014] [:error] [pid 3755] [client 127.0.0.1:42965] PHP  12. include() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/View/Renderer/PhpRenderer.php:506, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331496 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP Fatal error:  Call to undefined method A3\\Common\\Mapper\\UserMapper::getOneUserByUsername() in /home/zeus/Applications/ProjetX/module/Utilisateur/src/Utilisateur/Controller/AuthentificationController.php on line 65, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331541 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP Stack trace:, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331556 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   1. {main}() /home/zeus/Applications/ProjetX/public/index.php:0, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331565 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   2. Zend\\Mvc\\Application->run() /home/zeus/Applications/ProjetX/public/index.php:17, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331574 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   3. Zend\\EventManager\\EventManager->trigger() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:313, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331583 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331591 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   5. call_user_func() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331600 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331618 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   7. Zend\\Mvc\\Controller\\AbstractController->dispatch() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/DispatchListener.php:114, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331624 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   8. Zend\\EventManager\\EventManager->trigger() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractController.php:117, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331637 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP   9. Zend\\EventManager\\EventManager->triggerListeners() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331643 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP  10. call_user_func() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331649 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP  11. Zend\\Mvc\\Controller\\AbstractActionController->onDispatch() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Tue Oct 07 10:58:43.331654 2014] [:error] [pid 3050] [client 127.0.0.1:36819] PHP  12. Utilisateur\\Controller\\AuthentificationController->inscriptionAction() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Controller/AbstractActionController.php:83, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201393 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP Fatal error:  Call to undefined method A3\\Common\\Mapper\\UserMapper::getOneUserByUsername() in /home/zeus/Applications/ProjetX/module/Utilisateur/src/Utilisateur/Controller/AuthentificationController.php on line 65, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201425 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP Stack trace:, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201433 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP   1. {main}() /home/zeus/Applications/ProjetX/public/index.php:0, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201440 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP   2. Zend\\Mvc\\Application->run() /home/zeus/Applications/ProjetX/public/index.php:17, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201447 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP   3. Zend\\EventManager\\EventManager->trigger() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/Mvc/Application.php:313, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201453 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP   4. Zend\\EventManager\\EventManager->triggerListeners() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:207, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201459 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP   5. call_user_func() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
[Tue Oct 07 11:00:15.201465 2014] [:error] [pid 3017] [client 127.0.0.1:36820] PHP   6. Zend\\Mvc\\DispatchListener->onDispatch() /home/zeus/Applications/ProjetX/vendor/zendframework/zendframework/library/Zend/EventManager/EventManager.php:468, referer: http://projetx.local/inscription
